id,run_id,review_task_id,section,material_id,verdict,reason,created_at
1,2ab41b733748,1d506b589cfa48d4,政治经济,4726,approved,审核通过。,2026-04-07 18:34:12.126322+00
2,2ab41b733748,1d506b589cfa48d4,政治经济,4727,approved,审核通过。,2026-04-07 18:34:12.139385+00
3,2ab41b733748,1d506b589cfa48d4,政治经济,4728,approved,审核通过。,2026-04-07 18:34:12.150517+00
4,2ab41b733748,1d506b589cfa48d4,政治经济,4729,approved,审核通过。,2026-04-07 18:34:12.163959+00
5,2ab41b733748,1d506b589cfa48d4,政治经济,4730,approved,审核通过。,2026-04-07 18:34:12.176167+00
6,2ab41b733748,1d506b589cfa48d4,政治经济,4731,approved,审核通过。,2026-04-07 18:34:12.187752+00
7,2ab41b733748,1d506b589cfa48d4,政治经济,4732,approved,审核通过。,2026-04-07 18:34:12.199095+00
8,2ab41b733748,1d506b589cfa48d4,政治经济,4733,approved,审核通过。,2026-04-07 18:34:12.213747+00
9,2ab41b733748,1d506b589cfa48d4,政治经济,4734,approved,审核通过。,2026-04-07 18:34:12.231693+00
10,2ab41b733748,1d506b589cfa48d4,政治经济,4735,approved,审核通过。,2026-04-07 18:34:12.242612+00
11,2ab41b733748,1d506b589cfa48d4,政治经济,4736,approved,审核通过。,2026-04-07 18:34:12.252838+00
12,2ab41b733748,1d506b589cfa48d4,政治经济,4737,approved,审核通过。,2026-04-07 18:34:12.262847+00
13,2ab41b733748,1d506b589cfa48d4,政治经济,4738,approved,审核通过。,2026-04-07 18:34:12.274692+00
14,2ab41b733748,c69e6463f85c420c,体育娱乐,4739,approved,审核通过。,2026-04-07 18:34:14.372406+00
15,2ab41b733748,c69e6463f85c420c,体育娱乐,4740,approved,审核通过。,2026-04-07 18:34:14.389264+00
16,2ab41b733748,c69e6463f85c420c,体育娱乐,4741,approved,审核通过。,2026-04-07 18:34:14.402529+00
17,2ab41b733748,c69e6463f85c420c,体育娱乐,4742,approved,审核通过。,2026-04-07 18:34:14.415463+00
18,2ab41b733748,c69e6463f85c420c,体育娱乐,4743,approved,审核通过。,2026-04-07 18:34:14.428703+00
19,2ab41b733748,c69e6463f85c420c,体育娱乐,4744,approved,审核通过。,2026-04-07 18:34:14.445695+00
20,2ab41b733748,c69e6463f85c420c,体育娱乐,4745,approved,审核通过。,2026-04-07 18:34:14.462991+00
21,2ab41b733748,c69e6463f85c420c,体育娱乐,4746,approved,审核通过。,2026-04-07 18:34:14.477733+00
22,2ab41b733748,c69e6463f85c420c,体育娱乐,4747,approved,审核通过。,2026-04-07 18:34:14.489212+00
23,2ab41b733748,c69e6463f85c420c,体育娱乐,4748,approved,审核通过。,2026-04-07 18:34:14.503904+00
24,2ab41b733748,c69e6463f85c420c,体育娱乐,4749,approved,审核通过。,2026-04-07 18:34:14.518325+00
25,2ab41b733748,c69e6463f85c420c,体育娱乐,4750,approved,审核通过。,2026-04-07 18:34:14.529907+00
26,2ab41b733748,c80147bafe79414a,其他,4751,approved,审核通过。,2026-04-07 18:34:18.619824+00
27,2ab41b733748,c80147bafe79414a,其他,4752,approved,审核通过。,2026-04-07 18:34:18.630302+00
28,2ab41b733748,c80147bafe79414a,其他,4753,approved,审核通过。,2026-04-07 18:34:18.640603+00
29,2ab41b733748,c80147bafe79414a,其他,4754,approved,审核通过。,2026-04-07 18:34:18.650371+00
30,2ab41b733748,c80147bafe79414a,其他,4755,approved,审核通过。,2026-04-07 18:34:18.660098+00
31,2ab41b733748,c80147bafe79414a,其他,4756,approved,审核通过。,2026-04-07 18:34:18.669697+00
32,2ab41b733748,c80147bafe79414a,其他,4757,approved,审核通过。,2026-04-07 18:34:18.679205+00
33,2ab41b733748,c80147bafe79414a,其他,4758,approved,审核通过。,2026-04-07 18:34:18.68889+00
34,2ab41b733748,c80147bafe79414a,其他,4759,approved,审核通过。,2026-04-07 18:34:18.699081+00
35,2ab41b733748,c80147bafe79414a,其他,4760,approved,审核通过。,2026-04-07 18:34:18.709161+00
36,2ab41b733748,c80147bafe79414a,其他,4761,approved,审核通过。,2026-04-07 18:34:18.71881+00
37,2ab41b733748,c80147bafe79414a,其他,4762,approved,审核通过。,2026-04-07 18:34:18.728631+00
38,2ab41b733748,abb02654396144fd,科技,4763,approved,审核通过。,2026-04-07 18:34:20.794969+00
39,2ab41b733748,abb02654396144fd,科技,4764,approved,审核通过。,2026-04-07 18:34:20.807197+00
40,2ab41b733748,abb02654396144fd,科技,4765,approved,审核通过。,2026-04-07 18:34:20.81789+00
41,2ab41b733748,abb02654396144fd,科技,4766,approved,审核通过。,2026-04-07 18:34:20.829212+00
42,2ab41b733748,abb02654396144fd,科技,4767,approved,审核通过。,2026-04-07 18:34:20.839275+00
43,2ab41b733748,abb02654396144fd,科技,4768,approved,审核通过。,2026-04-07 18:34:20.850146+00
44,2ab41b733748,abb02654396144fd,科技,4769,approved,审核通过。,2026-04-07 18:34:20.863258+00
45,2ab41b733748,abb02654396144fd,科技,4770,approved,审核通过。,2026-04-07 18:34:20.873681+00
46,2ab41b733748,abb02654396144fd,科技,4771,approved,审核通过。,2026-04-07 18:34:20.885524+00
47,2ab41b733748,abb02654396144fd,科技,4772,approved,审核通过。,2026-04-07 18:34:20.895776+00
48,2ab41b733748,abb02654396144fd,科技,4773,approved,审核通过。,2026-04-07 18:34:20.906048+00
49,2ab41b733748,abb02654396144fd,科技,4774,approved,审核通过。,2026-04-07 18:34:20.916913+00
50,2ab41b733748,abb02654396144fd,科技,4775,approved,审核通过。,2026-04-07 18:34:20.928726+00
51,a5768aefa005,a1897c1c2fbe40fb,体育娱乐,4776,approved,审核通过。,2026-04-07 18:50:58.636005+00
52,a5768aefa005,a1897c1c2fbe40fb,体育娱乐,4777,approved,审核通过。,2026-04-07 18:50:58.65101+00
53,a5768aefa005,a1897c1c2fbe40fb,体育娱乐,4778,approved,审核通过。,2026-04-07 18:50:58.665063+00
54,a5768aefa005,a1897c1c2fbe40fb,体育娱乐,4779,approved,审核通过。,2026-04-07 18:50:58.681822+00
55,a5768aefa005,e634c43ae7fb409e,其他,4784,approved,审核通过。,2026-04-07 18:51:02.78615+00
56,a5768aefa005,e634c43ae7fb409e,其他,4785,approved,审核通过。,2026-04-07 18:51:02.79768+00
57,a5768aefa005,e634c43ae7fb409e,其他,4786,approved,审核通过。,2026-04-07 18:51:02.808047+00
58,a5768aefa005,e634c43ae7fb409e,其他,4780,approved,审核通过。,2026-04-07 18:51:02.818509+00
59,a5768aefa005,e634c43ae7fb409e,其他,4787,approved,审核通过。,2026-04-07 18:51:02.828634+00
60,a5768aefa005,e634c43ae7fb409e,其他,4781,approved,审核通过。,2026-04-07 18:51:02.840971+00
61,a5768aefa005,e634c43ae7fb409e,其他,4788,approved,审核通过。,2026-04-07 18:51:02.856181+00
62,a5768aefa005,e634c43ae7fb409e,其他,4789,approved,审核通过。,2026-04-07 18:51:02.878795+00
63,a5768aefa005,e634c43ae7fb409e,其他,4790,approved,审核通过。,2026-04-07 18:51:02.90073+00
64,a5768aefa005,e634c43ae7fb409e,其他,4782,approved,审核通过。,2026-04-07 18:51:02.91994+00
